@relation 'testing1-weka.filters.unsupervised.attribute.Add-TNOM-NNewNominal-Lactivity,scenic-Clast'
'temple for Buddhist',SA
'Great place for meditation',S&L
'Buddhist or not',SA
'Best time to visit',S&L
'stupa is visible',SA
'see the craftsmanship',S&L
'really worth a',S&L
'the largest Stupa',SA
'best thing to do',S&L
'take a walk',S&L
'great attractions of',S&L
'the ancient sacred',SA
'sacred area',SA
'just the dirty floor',S&L
'ancient people',S&L
'walk on bare foot',S&L
'ancient city',SA
'this marvelous ancient',SA
'perfect occasion to',S&L
'lot of people',S&L
'mostly local Buddhist',SA
'Buddhist flags hanging',SA
'just look bless',S&L
'see around anuradhapura',SA
'heat and stupa',SA
'really is worth',S&L
'extended dagoba',SA
'Ruwanwelisseya Dagoba',SA
'extended walk',S&L
'beautiful and majestic',S&L
'dagoba and socks',SA
'ancient temple on',SA
'beautiful and majestic',S&L
'mins walk',S&L
'this short walk',S&L
'dagoba is a',SA
'stupa that situates',SA
'sacred city of Anuradhapura',SA
'nice place to',S&L
'giant white Stupa',SA
'm this stupa',SA
'nice in early morning',S&L
'great and historical',S&L
'Ruwanwelisaya Dagoba',S&L
'sacred places',SA
'ancient Sri Lanka',SA
'surrounding the stupa',SA
'most underrated historical',SA
'stupa is an architectural',SA
'Sri Maha Bodhi temple',SA
'Buddhist temples on earth',SA
'Great and historical',SA
'stupa is enormous',SA
'the actual stupa',SA
'lot to see',S&L
'most amount of Lord',SA
'see lots of Buddhists',SA
'beauty of ancient',S&L
'skills of ancient',S&L
'stupa is awesome',S&L
'ancient city of Anuradhapura',SA
'visiting a different dagoba',SA
'ancient history',SA
'Just another stupa',SA
'This gigantic Buddhist',SA
'ancient and sacred city',SA
'Ancient World',SA
'very well worth the',S&L
'a magnificent Stupa',S&L
'Ruvanvelisaya dagoba',SA
'perfect water bubble',S&L
'Sacred Bo Tree',SA
'visited by many pilgrims',SA
'see the foresight',S&L
'ancient rulers',SA
'great piece of ancient Sri',SA
'great tranquilizing feeling',S&L
'beautiful piece of',S&L
'see the ruins',SA
'Dagoba is Pretty',SA
'delicate western feet',S&L
'Great day out',S&L
'lot of filth',S&L
'most famous contruction',SA
'really beautiful creation',S&L
'see the angles',S&L
'see historical place',SA
'most recent travel',S&L
'most sacret place',SA
'restored stupa',SA
'surrounded by decorative elephant heads',SA
'Ruwanweliseya is the largest',SA
'sunset or early morning',S&L
'Nice place to see',S&L
'well mainteined and',S&L
'Good to be',S&
'great reverence and',S&L
'most of locale',S&L
'including Buddhist',SA
'lot of developments',S&L
'largest stupa',SA
'such ancient',SA
'Nice to see',S&L
'stupa was being',SA
'with colorful Buddhist',SA
'Simply walk',S&L
'ancient city area',SA
'see the attractions',S&L
'and impressive dagoba',SA
'visit and walk',S&L
'dagoba is fully filled',SA
'a nice walk',S&L
'Visited the Dagoba',SA
'dagoba and the nearby Jatavana',SA
'Perfect place to calm',S&L
'beautiful place to start',S&L
'deterrent is walking',S&L
'most places of worship',S&L
'lot of people',S&L
'Well worth walking',S&L
'Great Pyramids of',SA
'Saya Dagoba',SA
'sacred place that ranks',SA
'Sri Maha bodhi in Anuradhapura',SA
'see the big dagoba',SA
'really hot to',S&L
'shaped dagoba',SA
'Pilgrims are happy',SA
'nice to see',S&L
'b.c. The white dome',SA
'a striking dagoba',SA
'pleasant park setting',S&L
'really is an',S&L
'the largest stupa',SA
'best time to visit',S&L
'caos The most revered stupa',SA
'sacred bodhi tree',SA
'the other ancient',SA
